AGE,COUNT,EVENT_TYPE,POPULATION,RACE,Non-Hispanic Race,RATE,SEX,SITE,YEAR
5-9,~,Incidence,101595,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Male,Oral Cavity and Pharynx,2016
50-54,30,Incidence,83362,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,36,Male,Oral Cavity and Pharynx,2016
55-59,36,Incidence,80418,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,44.8,Male,Oral Cavity and Pharynx,2016
60-64,34,Incidence,65671,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,51.8,Male,Oral Cavity and Pharynx,2016
65-69,26,Incidence,52405,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,49.6,Male,Oral Cavity and Pharynx,2016
70-74,23,Incidence,32696,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,70.3,Male,Oral Cavity and Pharynx,2016
75-79,~,Incidence,20731,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Male,Oral Cavity and Pharynx,2016
80-84,~,Incidence,11666,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Male,Oral Cavity and Pharynx,2016
85+,~,Incidence,8931,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Male,Oral Cavity and Pharynx,2016
<1,~,Incidence,18972,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Male,Oral Cavity and Pharynx,2016
1-4,~,Incidence,445078,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,,Male,Oral Cavity and Pharynx,2011
10-14,~,Incidence,531082,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,,Male,Oral Cavity and Pharynx,2011
15-19,~,Incidence,561021,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,,Male,Oral Cavity and Pharynx,2011
20-24,~,Incidence,657853,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,,Male,Oral Cavity and Pharynx,2011
25-29,17,Incidence,678702,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,2.5,Male,Oral Cavity and Pharynx,2011
30-34,26,Incidence,655701,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,4,Male,Oral Cavity and Pharynx,2011
35-39,54,Incidence,669023,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,8.1,Male,Oral Cavity and Pharynx,2011
40-44,59,Incidence,618185,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,9.5,Male,Oral Cavity and Pharynx,2011
45-49,85,Incidence,563404,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,15.1,Male,Oral Cavity and Pharynx,2011
5-9,~,Incidence,552462,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,,Male,Oral Cavity and Pharynx,2011
50-54,99,Incidence,505105,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,19.6,Male,Oral Cavity and Pharynx,2011
55-59,112,Incidence,435302,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,25.7,Male,Oral Cavity and Pharynx,2011
60-64,95,Incidence,357655,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,26.6,Male,Oral Cavity and Pharynx,2011
65-69,88,Incidence,247179,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,35.6,Male,Oral Cavity and Pharynx,2011
70-74,62,Incidence,182919,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,33.9,Male,Oral Cavity and Pharynx,2011
75-79,63,Incidence,121910,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,51.7,Male,Oral Cavity and Pharynx,2011
80-84,37,Incidence,75953,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,48.7,Male,Oral Cavity and Pharynx,2011
85+,34,Incidence,59967,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,56.7,Male,Oral Cavity and Pharynx,2011
<1,~,Incidence,111889,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,,Male,Oral Cavity and Pharynx,2011
1-4,~,Incidence,455984,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,,Male,Oral Cavity and Pharynx,2012
10-14,~,Incidence,541481,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,,Male,Oral Cavity and Pharynx,2012
15-19,~,Incidence,565285,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,,Male,Oral Cavity and Pharynx,2012
20-24,~,Incidence,681289,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,,Male,Oral Cavity and Pharynx,2012
25-29,~,Incidence,698867,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,,Male,Oral Cavity and Pharynx,2012
30-34,26,Incidence,684311,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,3.8,Male,Oral Cavity and Pharynx,2012
35-39,39,Incidence,673235,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,5.8,Male,Oral Cavity and Pharynx,2012
40-44,75,Incidence,648356,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,11.6,Male,Oral Cavity and Pharynx,2012
45-49,84,Incidence,571770,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,14.7,Male,Oral Cavity and Pharynx,2012
5-9,~,Incidence,568457,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,,Male,Oral Cavity and Pharynx,2012
50-54,101,Incidence,516784,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,19.5,Male,Oral Cavity and Pharynx,2012
55-59,113,Incidence,453968,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,24.9,Male,Oral Cavity and Pharynx,2012
60-64,96,Incidence,371701,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,25.8,Male,Oral Cavity and Pharynx,2012
65-69,90,Incidence,266920,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,33.7,Male,Oral Cavity and Pharynx,2012
70-74,55,Incidence,193543,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,28.4,Male,Oral Cavity and Pharynx,2012
75-79,54,Incidence,130738,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,41.3,Male,Oral Cavity and Pharynx,2012
80-84,39,Incidence,80800,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,48.3,Male,Oral Cavity and Pharynx,2012
85+,25,Incidence,65454,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,38.2,Male,Oral Cavity and Pharynx,2012
<1,~,Incidence,115320,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,,Male,Oral Cavity and Pharynx,2012
1-4,~,Incidence,467648,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,,Male,Oral Cavity and Pharynx,2013
10-14,~,Incidence,557610,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,,Male,Oral Cavity and Pharynx,2013
15-19,~,Incidence,573019,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,,Male,Oral Cavity and Pharynx,2013
20-24,~,Incidence,697070,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,,Male,Oral Cavity and Pharynx,2013
25-29,~,Incidence,723212,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,,Male,Oral Cavity and Pharynx,2013
30-34,17,Incidence,715204,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,2.4,Male,Oral Cavity and Pharynx,2013
35-39,44,Incidence,678496,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,6.5,Male,Oral Cavity and Pharynx,2013
40-44,71,Incidence,670840,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,10.6,Male,Oral Cavity and Pharynx,2013
45-49,96,Incidence,579254,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,16.6,Male,Oral Cavity and Pharynx,2013
5-9,~,Incidence,580844,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,,Male,Oral Cavity and Pharynx,2013
50-54,109,Incidence,534170,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,20.4,Male,Oral Cavity and Pharynx,2013
55-59,134,Incidence,471229,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,28.4,Male,Oral Cavity and Pharynx,2013
60-64,133,Incidence,385811,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,34.5,Male,Oral Cavity and Pharynx,2013
65-69,95,Incidence,288737,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,32.9,Male,Oral Cavity and Pharynx,2013
70-74,94,Incidence,203930,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,46.1,Male,Oral Cavity and Pharynx,2013
75-79,53,Incidence,139896,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,37.9,Male,Oral Cavity and Pharynx,2013
80-84,33,Incidence,86158,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,38.3,Male,Oral Cavity and Pharynx,2013
85+,32,Incidence,71021,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,45.1,Male,Oral Cavity and Pharynx,2013
<1,~,Incidence,122560,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,,Male,Oral Cavity and Pharynx,2013
1-4,~,Incidence,490857,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,,Male,Oral Cavity and Pharynx,2014
10-14,~,Incidence,575709,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,,Male,Oral Cavity and Pharynx,2014
15-19,~,Incidence,580637,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,,Male,Oral Cavity and Pharynx,2014
20-24,~,Incidence,708337,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,,Male,Oral Cavity and Pharynx,2014
25-29,16,Incidence,756668,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,2.1,Male,Oral Cavity and Pharynx,2014
30-34,22,Incidence,746819,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,2.9,Male,Oral Cavity and Pharynx,2014
35-39,40,Incidence,690703,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,5.8,Male,Oral Cavity and Pharynx,2014
40-44,73,Incidence,687590,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,10.6,Male,Oral Cavity and Pharynx,2014
45-49,80,Incidence,594066,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,13.5,Male,Oral Cavity and Pharynx,2014
5-9,~,Incidence,588085,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,,Male,Oral Cavity and Pharynx,2014
50-54,116,Incidence,552258,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,21,Male,Oral Cavity and Pharynx,2014
55-59,140,Incidence,485043,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,28.9,Male,Oral Cavity and Pharynx,2014
60-64,129,Incidence,400725,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,32.2,Male,Oral Cavity and Pharynx,2014
65-69,120,Incidence,311398,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,38.5,Male,Oral Cavity and Pharynx,2014
70-74,122,Incidence,215678,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,56.6,Male,Oral Cavity and Pharynx,2014
75-79,64,Incidence,149597,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,42.8,Male,Oral Cavity and Pharynx,2014
80-84,33,Incidence,91946,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,35.9,Male,Oral Cavity and Pharynx,2014
85+,21,Incidence,77157,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,27.2,Male,Oral Cavity and Pharynx,2014
<1,~,Incidence,122247,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,,Male,Oral Cavity and Pharynx,2014
1-4,~,Incidence,508358,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,,Male,Oral Cavity and Pharynx,2015
10-14,~,Incidence,589314,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,,Male,Oral Cavity and Pharynx,2015
15-19,~,Incidence,593259,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,,Male,Oral Cavity and Pharynx,2015
20-24,~,Incidence,714601,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,,Male,Oral Cavity and Pharynx,2015
25-29,~,Incidence,793757,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,,Male,Oral Cavity and Pharynx,2015
30-34,29,Incidence,777199,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,3.7,Male,Oral Cavity and Pharynx,2015
35-39,48,Incidence,710198,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,6.8,Male,Oral Cavity and Pharynx,2015
40-44,71,Incidence,700793,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,10.1,Male,Oral Cavity and Pharynx,2015
45-49,95,Incidence,617879,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,15.4,Male,Oral Cavity and Pharynx,2015
5-9,~,Incidence,599298,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,,Male,Oral Cavity and Pharynx,2015
50-54,134,Incidence,562986,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,23.8,Male,Oral Cavity and Pharynx,2015
55-59,126,Incidence,500731,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,25.2,Male,Oral Cavity and Pharynx,2015
60-64,119,Incidence,415957,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,28.6,Male,Oral Cavity and Pharynx,2015
65-69,109,Incidence,336650,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,32.4,Male,Oral Cavity and Pharynx,2015
70-74,111,Incidence,227379,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,48.8,Male,Oral Cavity and Pharynx,2015
75-79,54,Incidence,160327,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,33.7,Male,Oral Cavity and Pharynx,2015
80-84,37,Incidence,97893,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,37.8,Male,Oral Cavity and Pharynx,2015
85+,34,Incidence,84314,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,40.3,Male,Oral Cavity and Pharynx,2015
<1,~,Incidence,128350,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,,Male,Oral Cavity and Pharynx,2015
1-4,~,Incidence,525990,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,,Male,Oral Cavity and Pharynx,2016
10-14,~,Incidence,599298,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,,Male,Oral Cavity and Pharynx,2016
15-19,~,Incidence,605933,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,,Male,Oral Cavity and Pharynx,2016
20-24,~,Incidence,717911,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,,Male,Oral Cavity and Pharynx,2016
25-29,~,Incidence,829071,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,,Male,Oral Cavity and Pharynx,2016
30-34,25,Incidence,810445,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,3.1,Male,Oral Cavity and Pharynx,2016
35-39,34,Incidence,734466,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,4.6,Male,Oral Cavity and Pharynx,2016
40-44,59,Incidence,710146,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,8.3,Male,Oral Cavity and Pharynx,2016
45-49,115,Incidence,643461,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,17.9,Male,Oral Cavity and Pharynx,2016
5-9,~,Incidence,615144,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,,Male,Oral Cavity and Pharynx,2016
50-54,129,Incidence,575973,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,22.4,Male,Oral Cavity and Pharynx,2016
55-59,160,Incidence,510408,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,31.3,Male,Oral Cavity and Pharynx,2016
60-64,149,Incidence,435984,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,34.2,Male,Oral Cavity and Pharynx,2016
65-69,145,Incidence,355697,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,40.8,Male,Oral Cavity and Pharynx,2016
70-74,89,Incidence,240733,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,37,Male,Oral Cavity and Pharynx,2016
75-79,67,Incidence,169608,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,39.5,Male,Oral Cavity and Pharynx,2016
80-84,39,Incidence,105202,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,37.1,Male,Oral Cavity and Pharynx,2016
85+,35,Incidence,91230,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,38.4,Male,Oral Cavity and Pharynx,2016
<1,~,Incidence,127483,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,,Male,Oral Cavity and Pharynx,2016
1-4,~,Incidence,1255641,Non-Hispanic,Non-Hispanic Black,,Male,Oral Cavity and Pharynx,2011
10-14,~,Incidence,1602717,Non-Hispanic,Non-Hispanic Black,,Male,Oral Cavity and Pharynx,2011
15-19,~,Incidence,1739943,Non-Hispanic,Non-Hispanic Black,,Male,Oral Cavity and Pharynx,2011
20-24,~,Incidence,1655088,Non-Hispanic,Non-Hispanic Black,,Male,Oral Cavity and Pharynx,2011
25-29,~,Incidence,1370776,Non-Hispanic,Non-Hispanic Black,,Male,Oral Cavity and Pharynx,2011
30-34,24,Incidence,1289386,Non-Hispanic,Non-Hispanic Black,1.9,Male,Oral Cavity and Pharynx,2011
35-39,41,Incidence,1196635,Non-Hispanic,Non-Hispanic Black,3.4,Male,Oral Cavity and Pharynx,2011
40-44,91,Incidence,1258988,Non-Hispanic,Non-Hispanic Black,7.2,Male,Oral Cavity and Pharynx,2011
45-49,206,Incidence,1315016,Non-Hispanic,Non-Hispanic Black,15.7,Male,Oral Cavity and Pharynx,2011
5-9,~,Incidence,1527948,Non-Hispanic,Non-Hispanic Black,,Male,Oral Cavity and Pharynx,2011
50-54,364,Incidence,1282092,Non-Hispanic,Non-Hispanic Black,28.4,Male,Oral Cavity and Pharynx,2011
55-59,440,Incidence,1055549,Non-Hispanic,Non-Hispanic Black,41.7,Male,Oral Cavity and Pharynx,2011
60-64,464,Incidence,820837,Non-Hispanic,Non-Hispanic Black,56.5,Male,Oral Cavity and Pharynx,2011
65-69,348,Incidence,524767,Non-Hispanic,Non-Hispanic Black,66.3,Male,Oral Cavity and Pharynx,2011
70-74,234,Incidence,366537,Non-Hispanic,Non-Hispanic Black,63.8,Male,Oral Cavity and Pharynx,2011
75-79,138,Incidence,249232,Non-Hispanic,Non-Hispanic Black,55.4,Male,Oral Cavity and Pharynx,2011
80-84,71,Incidence,150753,Non-Hispanic,Non-Hispanic Black,47.1,Male,Oral Cavity and Pharynx,2011
85+,42,Incidence,113682,Non-Hispanic,Non-Hispanic Black,36.9,Male,Oral Cavity and Pharynx,2011
<1,~,Incidence,309439,Non-Hispanic,Non-Hispanic Black,,Male,Oral Cavity and Pharynx,2011
1-4,~,Incidence,1248337,Non-Hispanic,Non-Hispanic Black,,Male,Oral Cavity and Pharynx,2012
10-14,~,Incidence,1593684,Non-Hispanic,Non-Hispanic Black,,Male,Oral Cavity and Pharynx,2012
15-19,~,Incidence,1696830,Non-Hispanic,Non-Hispanic Black,,Male,Oral Cavity and Pharynx,2012
20-24,16,Incidence,1736883,Non-Hispanic,Non-Hispanic Black,0.9,Male,Oral Cavity and Pharynx,2012
25-29,~,Incidence,1402627,Non-Hispanic,Non-Hispanic Black,,Male,Oral Cavity and Pharynx,2012
30-34,25,Incidence,1318855,Non-Hispanic,Non-Hispanic Black,1.9,Male,Oral Cavity and Pharynx,2012
35-39,34,Incidence,1192714,Non-Hispanic,Non-Hispanic Black,2.9,Male,Oral Cavity and Pharynx,2012
40-44,80,Incidence,1263420,Non-Hispanic,Non-Hispanic Black,6.3,Male,Oral Cavity and Pharynx,2012
45-49,203,Incidence,1293719,Non-Hispanic,Non-Hispanic Black,15.7,Male,Oral Cavity and Pharynx,2012
5-9,~,Incidence,1544862,Non-Hispanic,Non-Hispanic Black,,Male,Oral Cavity and Pharynx,2012
50-54,381,Incidence,1287679,Non-Hispanic,Non-Hispanic Black,29.6,Male,Oral Cavity and Pharynx,2012
55-59,451,Incidence,1100796,Non-Hispanic,Non-Hispanic Black,41,Male,Oral Cavity and Pharynx,2012
60-64,453,Incidence,845062,Non-Hispanic,Non-Hispanic Black,53.6,Male,Oral Cavity and Pharynx,2012
65-69,345,Incidence,564376,Non-Hispanic,Non-Hispanic Black,61.1,Male,Oral Cavity and Pharynx,2012
70-74,224,Incidence,381558,Non-Hispanic,Non-Hispanic Black,58.7,Male,Oral Cavity and Pharynx,2012
75-79,138,Incidence,257519,Non-Hispanic,Non-Hispanic Black,53.6,Male,Oral Cavity and Pharynx,2012
80-84,72,Incidence,155197,Non-Hispanic,Non-Hispanic Black,46.4,Male,Oral Cavity and Pharynx,2012
85+,47,Incidence,119208,Non-Hispanic,Non-Hispanic Black,39.4,Male,Oral Cavity and Pharynx,2012
<1,~,Incidence,306722,Non-Hispanic,Non-Hispanic Black,,Male,Oral Cavity and Pharynx,2012
1-4,~,Incidence,1239021,Non-Hispanic,Non-Hispanic Black,,Male,Oral Cavity and Pharynx,2013
10-14,~,Incidence,1578082,Non-Hispanic,Non-Hispanic Black,,Male,Oral Cavity and Pharynx,2013
15-19,~,Incidence,1659467,Non-Hispanic,Non-Hispanic Black,,Male,Oral Cavity and Pharynx,2013
20-24,~,Incidence,1798296,Non-Hispanic,Non-Hispanic Black,,Male,Oral Cavity and Pharynx,2013
25-29,~,Incidence,1446224,Non-Hispanic,Non-Hispanic Black,,Male,Oral Cavity and Pharynx,2013
30-34,~,Incidence,1345548,Non-Hispanic,Non-Hispanic Black,,Male,Oral Cavity and Pharynx,2013
35-39,37,Incidence,1202554,Non-Hispanic,Non-Hispanic Black,3.1,Male,Oral Cavity and Pharynx,2013
40-44,92,Incidence,1257114,Non-Hispanic,Non-Hispanic Black,7.3,Male,Oral Cavity and Pharynx,2013
45-49,216,Incidence,1271126,Non-Hispanic,Non-Hispanic Black,17,Male,Oral Cavity and Pharynx,2013
5-9,~,Incidence,1566281,Non-Hispanic,Non-Hispanic Black,,Male,Oral Cavity and Pharynx,2013
50-54,356,Incidence,1292939,Non-Hispanic,Non-Hispanic Black,27.5,Male,Oral Cavity and Pharynx,2013
55-59,495,Incidence,1138732,Non-Hispanic,Non-Hispanic Black,43.5,Male,Oral Cavity and Pharynx,2013
60-64,471,Incidence,871576,Non-Hispanic,Non-Hispanic Black,54,Male,Oral Cavity and Pharynx,2013
65-69,349,Incidence,600760,Non-Hispanic,Non-Hispanic Black,58.1,Male,Oral Cavity and Pharynx,2013
70-74,219,Incidence,400044,Non-Hispanic,Non-Hispanic Black,54.7,Male,Oral Cavity and Pharynx,2013
75-79,142,Incidence,265745,Non-Hispanic,Non-Hispanic Black,53.4,Male,Oral Cavity and Pharynx,2013
80-84,66,Incidence,160813,Non-Hispanic,Non-Hispanic Black,41,Male,Oral Cavity and Pharynx,2013
85+,41,Incidence,123494,Non-Hispanic,Non-Hispanic Black,33.2,Male,Oral Cavity and Pharynx,2013
<1,~,Incidence,306969,Non-Hispanic,Non-Hispanic Black,,Male,Oral Cavity and Pharynx,2013
1-4,~,Incidence,1238602,Non-Hispanic,Non-Hispanic Black,,Male,Oral Cavity and Pharynx,2014
10-14,~,Incidence,1566856,Non-Hispanic,Non-Hispanic Black,,Male,Oral Cavity and Pharynx,2014
15-19,~,Incidence,1631851,Non-Hispanic,Non-Hispanic Black,,Male,Oral Cavity and Pharynx,2014
20-24,~,Incidence,1825935,Non-Hispanic,Non-Hispanic Black,,Male,Oral Cavity and Pharynx,2014
25-29,~,Incidence,1515564,Non-Hispanic,Non-Hispanic Black,,Male,Oral Cavity and Pharynx,2014
30-34,22,Incidence,1361322,Non-Hispanic,Non-Hispanic Black,1.6,Male,Oral Cavity and Pharynx,2014
35-39,42,Incidence,1229853,Non-Hispanic,Non-Hispanic Black,3.4,Male,Oral Cavity and Pharynx,2014
40-44,87,Incidence,1245516,Non-Hispanic,Non-Hispanic Black,7,Male,Oral Cavity and Pharynx,2014
45-49,178,Incidence,1245508,Non-Hispanic,Non-Hispanic Black,14.3,Male,Oral Cavity and Pharynx,2014
5-9,~,Incidence,1576273,Non-Hispanic,Non-Hispanic Black,,Male,Oral Cavity and Pharynx,2014
50-54,361,Incidence,1295440,Non-Hispanic,Non-Hispanic Black,27.9,Male,Oral Cavity and Pharynx,2014
55-59,454,Incidence,1170436,Non-Hispanic,Non-Hispanic Black,38.8,Male,Oral Cavity and Pharynx,2014
60-64,492,Incidence,902894,Non-Hispanic,Non-Hispanic Black,54.5,Male,Oral Cavity and Pharynx,2014
65-69,384,Incidence,641237,Non-Hispanic,Non-Hispanic Black,59.9,Male,Oral Cavity and Pharynx,2014
70-74,238,Incidence,417211,Non-Hispanic,Non-Hispanic Black,57,Male,Oral Cavity and Pharynx,2014
75-79,139,Incidence,275123,Non-Hispanic,Non-Hispanic Black,50.5,Male,Oral Cavity and Pharynx,2014
80-84,70,Incidence,166725,Non-Hispanic,Non-Hispanic Black,42,Male,Oral Cavity and Pharynx,2014
85+,50,Incidence,128763,Non-Hispanic,Non-Hispanic Black,38.8,Male,Oral Cavity and Pharynx,2014
<1,~,Incidence,309353,Non-Hispanic,Non-Hispanic Black,,Male,Oral Cavity and Pharynx,2014
1-4,~,Incidence,1241685,Non-Hispanic,Non-Hispanic Black,,Male,Oral Cavity and Pharynx,2015
10-14,~,Incidence,1550320,Non-Hispanic,Non-Hispanic Black,,Male,Oral Cavity and Pharynx,2015
15-19,~,Incidence,1627831,Non-Hispanic,Non-Hispanic Black,,Male,Oral Cavity and Pharynx,2015
20-24,~,Incidence,1812064,Non-Hispanic,Non-Hispanic Black,,Male,Oral Cavity and Pharynx,2015
25-29,20,Incidence,1597128,Non-Hispanic,Non-Hispanic Black,1.3,Male,Oral Cavity and Pharynx,2015
30-34,23,Incidence,1373251,Non-Hispanic,Non-Hispanic Black,1.7,Male,Oral Cavity and Pharynx,2015
35-39,27,Incidence,1269513,Non-Hispanic,Non-Hispanic Black,2.1,Male,Oral Cavity and Pharynx,2015
40-44,98,Incidence,1225153,Non-Hispanic,Non-Hispanic Black,8,Male,Oral Cavity and Pharynx,2015
45-49,174,Incidence,1238451,Non-Hispanic,Non-Hispanic Black,14,Male,Oral Cavity and Pharynx,2015
5-9,~,Incidence,1582298,Non-Hispanic,Non-Hispanic Black,,Male,Oral Cavity and Pharynx,2015
50-54,313,Incidence,1288629,Non-Hispanic,Non-Hispanic Black,24.3,Male,Oral Cavity and Pharynx,2015
55-59,478,Incidence,1199047,Non-Hispanic,Non-Hispanic Black,39.9,Male,Oral Cavity and Pharynx,2015
60-64,486,Incidence,936516,Non-Hispanic,Non-Hispanic Black,51.9,Male,Oral Cavity and Pharynx,2015
65-69,380,Incidence,685882,Non-Hispanic,Non-Hispanic Black,55.4,Male,Oral Cavity and Pharynx,2015
70-74,246,Incidence,433944,Non-Hispanic,Non-Hispanic Black,56.7,Male,Oral Cavity and Pharynx,2015
75-79,133,Incidence,285222,Non-Hispanic,Non-Hispanic Black,46.6,Male,Oral Cavity and Pharynx,2015
80-84,77,Incidence,173145,Non-Hispanic,Non-Hispanic Black,44.5,Male,Oral Cavity and Pharynx,2015
85+,58,Incidence,135097,Non-Hispanic,Non-Hispanic Black,42.9,Male,Oral Cavity and Pharynx,2015
<1,~,Incidence,311329,Non-Hispanic,Non-Hispanic Black,,Male,Oral Cavity and Pharynx,2015
1-4,~,Incidence,1243824,Non-Hispanic,Non-Hispanic Black,,Male,Oral Cavity and Pharynx,2016
10-14,~,Incidence,1548466,Non-Hispanic,Non-Hispanic Black,,Male,Oral Cavity and Pharynx,2016
15-19,~,Incidence,1630512,Non-Hispanic,Non-Hispanic Black,,Male,Oral Cavity and Pharynx,2016
20-24,17,Incidence,1771515,Non-Hispanic,Non-Hispanic Black,1,Male,Oral Cavity and Pharynx,2016
25-29,~,Incidence,1685032,Non-Hispanic,Non-Hispanic Black,,Male,Oral Cavity and Pharynx,2016
30-34,25,Incidence,1399601,Non-Hispanic,Non-Hispanic Black,1.8,Male,Oral Cavity and Pharynx,2016
